from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246131624613655+2286431+1,246131624613655+2286020+1,1,
33,33,,,246127724612771+2286460+1,246127724612771+2286037+1,1,
33,33,,,246129824613011+2286460+1,246129824613011+2286037+1,1,
33,33,,,246129824613013+2286460+1,246129824613013+2286037+1,1,
33,33,,,246129224612943+2286462+1,246129224612943+2286039+1,1,
33,33,,,246130624613083+2286462+1,246130624613083+2286039+1,1,
33,33,,,246127124612734+2286472+1,246127124612734+2286049+1,1,
33,33,,,246128424612871+2286472+1,246128424612871+2286049+1,1,
33,33,,,246131224613643+2286472+1,246131224613643+2286049+1,1,
33,33,,,246127824612802+2286474+1,246127824612802+2286051+1,1,
33,33,,,246127824612804+2286474+1,246127824612804+2286051+1,1,
33,33,,,246130624613082+2286474+1,246130624613082+2286051+1,1,
33,33,,,246129524612955+2286476+1,246129524612955+2286050+1,1,
33,33,,,246128424612873+2286478+1,246128424612873+2286049+1,1,
33,33,,,246131224613642+2286478+1,246131224613642+2286049+1,1,
33,33,,,246131224613643+2286478+1,246131224613643+2286049+1,1,
33,33,,,246130624613082+2286479+1,246130624613082+2286051+1,1,
33,33,,,246127724612871+2286484+1,246128424612871+2286053+1,1,
33,33,,,246129824613644+2286484+1,246131224613644+2286053+1,1,
33,33,,,246128824612885+2286486+1,246128824612885+2286056+1,1,
33,33,,,246131224613642+2286490+1,246131224613642+2286076+1,1,
33,33,,,246127424613655+2286491+1,246130224613025+2286079+1,1,
33,33,,,246128424612871+2286497+1,246128424612871+2286084+1,1,
33,33,,,246128424612873+2286497+1,246128424612873+2286084+1,1,
33,33,,,246129824613011+2286497+1,246129824613011+2286084+1,1,
33,33,,,246129824613012+2286497+1,246129824613012+2286084+1,1,
33,33,,,246127424612815+2286498+1,246127424612815+2286085+1,1,
33,33,,,246129224612943+2286499+1,246129224612943+2286086+1,1,
33,33,,,246130624613084+2286499+1,246130624613084+2286086+1,1,
33,33,,,246128824612885+2286500+1,246128824612885+2286087+1,1,
33,33,,,246131224613641+2286505+0,246131224613641+2283988+0,1,
33,33,,,246131224613644+2286505+0,246131224613644+2283988+0,1,
33,33,,,246127824612802+2286507+0,246127824612802+2283990+0,1,
33,33,,,246128824612885+2286508+0,246128824612885+2283991+0,1,
