stop_id,stop_code,stop_name,stop_url,stop_timezone,stop_lat,stop_lon
DVL,DVL,Devils Lake Amtrak Station,https://www.amtrak.com/stations/dvl,America/Chicago,48.110468,-98.861372
DWT,DWT,Dwight Amtrak Station,https://www.amtrak.com/stations/dwt,America/Chicago,41.089854,-88.430707
DYE,DYE,Dyer Amtrak,https://www.amtrak.com/stations/dye,America/Chicago,41.515413,-87.518076
EDM,EDM,Edmonds,https://www.amtrak.com/stations/edm,America/Los_Angeles,47.811081,-122.384141
EFG,EFG,Effingham Amtrak Station,https://www.amtrak.com/stations/efg,America/Chicago,39.117059,-88.54711
EKA,EKA,Eureka Amtrak Bus Stop,https://www.amtrak.com/stations/eka,America/Los_Angeles,40.800739,-124.16933
EKG,EKG,Elk Grove Amtrak Bus Stop,https://www.amtrak.com/stations/ekg,America/Los_Angeles,38.424746,-121.480807
EKH,EKH,Elkhart Amtrak Station,https://www.amtrak.com/stations/ekh,America/New_York,41.680748,-85.971848
ELK,ELK,Elko Amtrak,https://www.amtrak.com/stations/elk,America/Los_Angeles,40.836483,-115.75053
ELP,ELP,El Paso,https://www.amtrak.com/stations/elp,America/Denver,31.757346,-106.495644
ELT,ELT,Elizabethtown Amtrak Station,https://www.amtrak.com/stations/elt,America/New_York,40.147028,-76.612234
ELY,ELY,Elyria Amtrak,https://www.amtrak.com/stations/ely,America/New_York,41.370033,-82.096685
EMY,EMY,Emeryville,https://www.amtrak.com/stations/emy,America/Los_Angeles,37.840474,-122.291615
EPH,EPH,Ephrata Amtrak,https://www.amtrak.com/stations/eph,America/Los_Angeles,47.320948,-119.549267
ERI,ERI,Erie Amtrak Station,https://www.amtrak.com/stations/eri,America/New_York,42.120847,-80.082444
ESM,ESM,Essex Amtrak,https://www.amtrak.com/stations/esm,America/Denver,48.275543,-113.610942
ESX,ESX,Essex Junction-Burlington Amtrak Station,https://www.amtrak.com/stations/esx,America/New_York,44.492466,-73.110277
EUG,EUG,Eugene,https://www.amtrak.com/stations/eug,America/Los_Angeles,44.055043,-123.092361
EVR,EVR,Everett Amtrak Station,https://www.amtrak.com/stations/evr,America/Los_Angeles,47.975401,-122.197858
EWR,EWR,Newark Liberty International Airport,https://www.amtrak.com/stations/ewr,America/New_York,40.696618,-74.18229
EXR,EXR,Exeter,https://www.amtrak.com/stations/exr,America/New_York,42.98102,-70.9587
EXT,EXT,Exton Amtrak,https://www.amtrak.com/stations/ext,America/New_York,40.019291,-75.621713
FAR,FAR,Fargo Amtrak Station,https://www.amtrak.com/stations/far,America/Chicago,46.880982,-96.785372
FAY,FAY,Fayetteville Amtrak Station,https://www.amtrak.com/stations/fay,America/New_York,35.054993,-78.884788
FBG,FBG,Fredericksburg Amtrak,https://www.amtrak.com/stations/fbg,America/New_York,38.298413,-77.457203
FED,FED,Fort Edward Amtrak,https://www.amtrak.com/stations/fed,America/New_York,43.269603,-73.58055
FFV,FFV,Fairfield-Vacaville Amtrak Station,https://www.amtrak.com/stations/ffv,America/Los_Angeles,38.285626,-121.967926
FHD,FHD,Fort Hood Amtrak Bus Stop,https://www.amtrak.com/stations/fhd,America/Chicago,31.141597,-97.766812
FIL,FIL,Fillmore Amtrak Bus Stop,https://www.amtrak.com/stations/fil,America/Los_Angeles,34.396009,-118.918319
FLG,FLG,Flagstaff,https://www.amtrak.com/stations/flg,America/Denver,35.197374,-111.648871
FLN,FLN,Flint Amtrak Station,https://www.amtrak.com/stations/fln,America/New_York,43.015425,-83.651728
FLO,FLO,Florence Amtrak Station,https://www.amtrak.com/stations/flo,America/New_York,34.199157,-79.757056
FMD,FMD,Fort Madison,https://www.amtrak.com/stations/fmd,America/Chicago,40.629558,-91.313529
FMG,FMG,Fort Morgan Amtrak Station,https://www.amtrak.com/stations/fmg,America/Denver,40.247169,-103.802818
FMT,FMT,Fremont,https://www.amtrak.com/stations/fmt,America/Los_Angeles,37.559093,-122.007496
FNO,FNO,Fresno,https://www.amtrak.com/stations/fno,America/Los_Angeles,36.738457,-119.782926
FRA,FRA,Framingham Amtrak,https://www.amtrak.com/stations/fra,America/New_York,42.275993,-71.420033
FRE,FRE,Freeport Amtrak Station,https://www.amtrak.com/stations/fre,America/New_York,43.855035,-70.102358
FRT,FRT,Fremont Amtrak Bus Stop,https://www.amtrak.com/stations/frt,America/Los_Angeles,37.53915,-121.92364
FTA,FTA,Fortuna Amtrak Bus Stop,https://www.amtrak.com/stations/fta,America/Los_Angeles,40.583672,-124.146188
FTC,FTC,Ticonderoga Amtrak,https://www.amtrak.com/stations/ftc,America/New_York,43.853788,-73.389681
FTL,FTL,Fort Lauderdale Amtrak Station,https://www.amtrak.com/stations/ftl,America/New_York,26.119256,-80.17
FTM,FTM,Fort Myers Amtrak Bus Stop,https://www.amtrak.com/stations/ftm,America/New_York,26.655312,-81.801382
FTN,FTN,Fulton Amtrak Station,https://www.amtrak.com/stations/ftn,America/Chicago,36.525704,-88.888772
FTW,FTW,Fort Worth,https://www.amtrak.com/stations/ftw,America/Chicago,32.7515305,-97.3257888
FUL,FUL,Fullerton Amtrak Station,https://www.amtrak.com/stations/ful,America/Los_Angeles,33.868969,-117.922849
GAC,GAC,Santa Clara Great America Amtrak,https://www.amtrak.com/stations/gac,America/Los_Angeles,37.406778,-121.967003
GAS,GAS,Gastonia Amtrak Station,https://www.amtrak.com/stations/gas,America/New_York,35.269186,-81.162366
GBB,GBB,Galesburg Amtrak Station,https://www.amtrak.com/stations/gbb,America/Chicago,40.944678,-90.364106
GBO,GBO,Goldsboro,https://www.amtrak.com/stations/gbo,America/New_York,35.385675,-78.003337
GBV,GBV,Garberville Amtrak Bus Stop,https://www.amtrak.com/stations/gbv,America/Los_Angeles,40.097719,-123.79523
GCK,GCK,Garden City Amtrak Station,https://www.amtrak.com/stations/gck,America/Chicago,37.964365,-100.873256
GDL,GDL,Glendale Amtrak,https://www.amtrak.com/stations/gdl,America/Los_Angeles,34.123706,-118.258868
GFD,GFD,Greenfield Amtrak Station,https://www.amtrak.com/stations/gfd,America/New_York,42.585458,-72.600765
GFK,GFK,Grand Forks Amtrak Station,https://www.amtrak.com/stations/gfk,America/Chicago,47.917522,-97.110835
GGW,GGW,Glasgow Amtrak Station,https://www.amtrak.com/stations/ggw,America/Denver,48.194854,-106.636188
GJT,GJT,Grand Junction Amtrak Station,https://www.amtrak.com/stations/gjt,America/Denver,39.064375,-108.569929
GLE,GLE,Gainesville Amtrak Station,https://www.amtrak.com/stations/gle,America/Chicago,33.625159,-97.140896
GLM,GLM,Gilman Amtrak,https://www.amtrak.com/stations/glm,America/Chicago,40.752547,-87.998055
GLN,GLN,Glenview Amtrak Station,https://www.amtrak.com/stations/gln,America/Chicago,42.075038,-87.805562
GLP,GLP,Gallup Amtrak Station,https://www.amtrak.com/stations/glp,America/Denver,35.529176,-108.740548
GNB,GNB,Greensburg Amtrak,https://www.amtrak.com/stations/gnb,America/New_York,40.304986,-79.546893
GNF,GNF,Gainesville Amtrak Bus Stop,https://www.amtrak.com/stations/gnf,America/New_York,29.673652,-82.323379
GNS,GNS,Gainesville Amtrak Station,https://www.amtrak.com/stations/gns,America/New_York,34.288897,-83.819694
GPK,GPK,East Glacier Park Amtrak Station,https://www.amtrak.com/stations/gpk,America/Denver,48.442333,-113.219523
GRA,GRA,Granby Amtrak Station,https://www.amtrak.com/stations/gra,America/Denver,40.084188,-105.935503
GRI,GRI,Green River Amtrak,https://www.amtrak.com/stations/gri,America/Denver,38.992039,-110.165228
GRN,GRN,Greenville Amtrak Bus Stop,https://www.amtrak.com/stations/grn,America/New_York,35.610198,-77.377078
GRO,GRO,Greensboro,https://www.amtrak.com/stations/gro,America/New_York,36.069797,-79.78708
GRR,GRR,Grand Rapids Vernon J. Ehlers Station,https://www.amtrak.com/stations/grr,America/New_York,42.955788,-85.672447
GRV,GRV,Greenville Amtrak Station,https://www.amtrak.com/stations/grv,America/New_York,34.858256,-82.413486
GSC,GSC,Glenwood Springs,https://www.amtrak.com/stations/gsc,America/Denver,39.547903,-107.323218
GTA,GTA,Goleta Amtrak,https://www.amtrak.com/stations/gta,America/Los_Angeles,34.437729,-119.843092
GUA,GUA,Guadalupe Amtrak Station,https://www.amtrak.com/stations/gua,America/Los_Angeles,34.962927,-120.57341
GVB,GVB,Grover Beach Amtrak,https://www.amtrak.com/stations/gvb,America/Los_Angeles,35.12126,-120.629266
GWD,GWD,Greenwood Amtrak Station,https://www.amtrak.com/stations/gwd,America/Chicago,33.517159,-90.176454
HAM,HAM,Hamlet Amtrak Station,https://www.amtrak.com/stations/ham,America/New_York,34.883663,-79.699218
HAR,HAR,Harrisburg,https://www.amtrak.com/stations/har,America/New_York,40.26205,-76.878256
HAS,HAS,Hastings Amtrak Station,https://www.amtrak.com/stations/has,America/Chicago,40.584276,-98.387534
HAV,HAV,Havre Amtrak Station,https://www.amtrak.com/stations/hav,America/Denver,48.554465,-109.678352
HAY,HAY,Hayward Amtrak,https://www.amtrak.com/stations/hay,America/Los_Angeles,37.665997,-122.099277
HAZ,HAZ,Hazlehurst Amtrak,https://www.amtrak.com/stations/haz,America/Chicago,31.86132,-90.394347
HBG,HBG,Hattiesburg Amtrak Station,https://www.amtrak.com/stations/hbg,America/Chicago,31.326921,-89.286463
HEA,HEA,Healdsburg Amtrak Bus Stop,https://www.amtrak.com/stations/hea,America/Los_Angeles,38.606841,-122.869456
