trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
218961,9:19:00,9:22:00,SPI,4,0,0,1
218961,9:44:00,9:44:00,LCN,5,0,0,1
218961,10:13:00,10:16:00,BNL,6,0,0,1
218961,10:42:00,10:42:00,PON,7,0,0,1
218961,10:58:00,10:58:00,DWT,8,0,0,1
218961,11:39:00,11:39:00,JOL,9,0,0,1
218961,12:04:00,12:04:00,SMT,10,1,0,1
218961,12:40:00,12:40:00,CHI,11,0,0,1
218964,10:50:00,10:50:00,CHI,1,0,0,1
218964,11:13:00,11:13:00,SMT,2,0,0,1
218964,11:40:00,11:40:00,JOL,3,0,0,1
218964,12:09:00,12:09:00,DWT,4,0,0,1
218964,12:23:00,12:23:00,PON,5,0,0,1
218964,12:56:00,12:59:00,BNL,6,0,0,1
218964,13:25:00,13:25:00,LCN,7,0,0,1
218964,13:53:00,13:56:00,SPI,8,0,0,1
218964,14:33:00,14:33:00,CRV,9,0,0,1
218964,14:57:00,14:59:00,ALN,10,0,0,1
218964,15:51:00,16:11:00,STL,11,0,0,1
218964,16:40:00,16:40:00,KWD,12,0,0,1
218964,17:17:00,17:17:00,WAH,13,0,0,1
218964,17:45:00,17:45:00,HEM,14,0,0,1
218964,18:36:00,18:36:00,JEF,15,0,0,1
218964,19:43:00,19:43:00,SED,16,0,0,1
218964,20:14:00,20:14:00,WAR,17,0,0,1
218964,20:55:00,20:55:00,LEE,18,0,0,1
218964,21:11:00,21:11:00,IDP,19,0,0,1
218964,21:51:00,21:51:00,KCY,20,0,0,1
220046,18:40:00,18:40:00,STL,1,0,0,1
220046,19:21:00,19:21:00,ALN,2,0,0,1
220046,20:21:00,20:24:00,SPI,3,0,0,1
220046,20:46:00,20:46:00,LCN,4,0,0,1
220046,21:14:00,21:17:00,BNL,5,0,0,1
220046,21:46:00,21:46:00,PON,6,0,0,1
220046,22:35:00,22:35:00,JOL,7,0,0,1
220046,23:00:00,23:00:00,SMT,8,1,0,1
220046,23:43:00,23:43:00,CHI,9,0,0,1
222141,8:55:00,8:55:00,LAX,1,0,0,1
222141,9:15:00,9:15:00,BUR,2,0,1,1
222141,9:40:00,9:40:00,NHL,3,0,0,1
222141,11:40:00,11:40:00,BFD,4,0,0,1
222143,10:50:00,10:50:00,LAX,1,0,0,1
222143,11:10:00,11:10:00,GDL,2,0,1,1
222143,13:40:00,13:40:00,BFD,3,0,0,1
222145,11:00:00,11:00:00,LAX,1,0,0,1
222145,13:40:00,13:40:00,BFD,2,0,0,1
222147,8:50:00,8:50:00,LAX,1,0,0,1
222147,9:10:00,9:10:00,GDL,2,0,1,1
222147,11:40:00,11:40:00,BFD,3,1,0,1
222163,14:05:00,14:05:00,LAX,1,0,0,1
222163,16:45:00,16:45:00,BFD,2,0,0,1
222172,1:10:00,1:10:00,SAN,1,0,0,1
222172,1:40:00,1:40:00,SOL,2,0,0,1
222172,2:10:00,2:10:00,OSD,3,0,0,1
222172,2:55:00,2:55:00,IRV,4,0,0,1
222172,3:15:00,3:15:00,SNA,5,0,0,1
222172,3:30:00,3:30:00,ANA,6,0,0,1
222172,3:50:00,3:50:00,FUL,7,0,0,1
222172,4:30:00,4:45:00,LAX,8,0,0,1
222172,5:00:00,5:00:00,GDL,9,0,1,1
222172,5:15:00,5:15:00,BUR,10,0,1,1
222172,5:40:00,5:40:00,NHL,11,0,1,1
222172,7:40:00,7:40:00,BFD,12,0,0,1
222248,17:55:00,17:55:00,SKT,1,0,0,1
222248,18:05:00,18:05:00,SKN,2,0,0,1
222461,7:10:00,7:10:00,MSA,1,0,0,1
222461,7:32:00,7:35:00,BAL,2,0,0,1
222461,7:43:00,7:43:00,WBL,3,0,0,1
222461,7:49:00,7:49:00,HAE,4,0,0,1
222461,7:56:00,7:56:00,BWI,5,0,0,1
222461,8:04:00,8:04:00,OTN,6,0,0,1
222461,8:10:00,8:10:00,BWE,7,0,0,1
222461,8:18:00,8:18:00,NCR,8,1,0,1
222461,8:37:00,8:37:00,WAS,9,0,0,1
222468,9:05:00,9:05:00,MSA,1,0,0,1
222468,9:27:00,9:30:00,BAL,2,0,0,1
222468,9:37:00,9:37:00,WBL,3,0,0,1
222468,9:43:00,9:43:00,HAE,4,0,0,1
222468,9:50:00,9:50:00,BWI,5,0,0,1
222468,9:57:00,9:57:00,OTN,6,0,0,1
222468,10:03:00,10:03:00,BWE,7,0,0,1
222468,10:11:00,10:11:00,NCR,8,0,0,1
222468,10:30:00,10:30:00,WAS,9,0,0,1
222474,19:25:00,19:25:00,WAS,1,0,0,1
222474,19:36:00,19:36:00,NCR,2,0,0,1
222474,19:44:00,19:44:00,BWE,3,0,0,1
222474,19:50:00,19:50:00,OTN,4,0,0,1
222474,19:58:00,19:58:00,BWI,5,0,0,1
222474,20:04:00,20:04:00,HAE,6,0,0,1
222474,20:11:00,20:11:00,WBL,7,0,0,1
222474,20:31:00,20:31:00,BAL,8,0,0,1
222476,16:05:00,16:05:00,BAL,1,0,0,1
222476,16:12:00,16:12:00,WBL,2,0,0,1
222476,16:18:00,16:18:00,HAE,3,0,0,1
222476,16:25:00,16:25:00,BWI,4,0,0,1
222476,16:32:00,16:32:00,OTN,5,0,0,1
222476,16:38:00,16:38:00,BWE,6,0,0,1
222476,16:46:00,16:46:00,NCR,7,0,0,1
222476,17:05:00,17:05:00,WAS,8,0,0,1
222490,18:00:00,18:00:00,BAL,1,0,1,1
222490,18:07:00,18:07:00,WBL,2,0,0,1
222490,18:13:00,18:13:00,HAE,3,0,0,1
222490,18:20:00,18:20:00,BWI,4,0,0,1
222490,18:27:00,18:27:00,OTN,5,0,0,1
222490,18:33:00,18:33:00,BWE,6,0,0,1
222490,18:46:00,18:46:00,NCR,7,0,0,1
222490,19:05:00,19:05:00,WAS,8,0,0,1
222492,19:30:00,19:30:00,BAL,1,0,0,1
222492,19:37:00,19:37:00,WBL,2,0,0,1
222492,19:43:00,19:43:00,HAE,3,0,0,1
222492,19:50:00,19:50:00,BWI,4,0,0,1
222492,19:57:00,19:57:00,OTN,5,0,0,1
222492,20:03:00,20:03:00,BWE,6,0,0,1
222492,20:11:00,20:11:00,NCR,7,0,0,1
222492,20:30:00,20:30:00,WAS,8,0,0,1
222514,21:30:00,21:30:00,WAS,1,0,0,1
222514,21:41:00,21:41:00,NCR,2,0,0,1
